condition,seed,delay_level,sparsity_level,delay_high,sparsity_high,delay,reward_sparse_prob,noise,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
low_delay_high_sparsity,18,low,high,0,1,0,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.342105,1.0
low_delay_high_sparsity,19,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.0,0.0
low_delay_high_sparsity,20,low,high,0,1,0,0.1,0.0,-0.013333,-2.0,1.0,0.0,0.055556,1.0
low_delay_high_sparsity,21,low,high,0,1,0,0.1,0.0,-0.146667,-0.146667,1.0,1.0,0.002849,1.0
low_delay_high_sparsity,22,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.0,0.0
low_delay_high_sparsity,23,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.156118,1.0
low_delay_high_sparsity,24,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.027778,1.0
low_delay_high_sparsity,25,low,high,0,1,0,0.1,0.0,-0.146667,-0.146667,1.0,1.0,0.0,0.0
low_delay_high_sparsity,26,low,high,0,1,0,0.1,0.0,0.053333,0.053333,1.0,1.0,0.0,0.0
low_delay_high_sparsity,27,low,high,0,1,0,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.0,0.0
low_delay_high_sparsity,28,low,high,0,1,0,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.145299,1.0
low_delay_high_sparsity,29,low,high,0,1,0,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.055556,1.0
high_delay_high_sparsity,0,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,1,high,high,1,1,6,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.122807,1.0
high_delay_high_sparsity,2,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.378049,1.0
high_delay_high_sparsity,3,high,high,1,1,6,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.254743,1.0
high_delay_high_sparsity,4,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.358974,1.0
high_delay_high_sparsity,5,high,high,1,1,6,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.027778,1.0
high_delay_high_sparsity,6,high,high,1,1,6,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.0,0.0
high_delay_high_sparsity,7,high,high,1,1,6,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.0,0.0
high_delay_high_sparsity,8,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.342105,1.0
high_delay_high_sparsity,9,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,10,high,high,1,1,6,0.1,0.0,-0.013333,-0.013333,1.0,1.0,0.145299,1.0
high_delay_high_sparsity,11,high,high,1,1,6,0.1,0.0,-0.146667,-0.146667,1.0,1.0,0.0,0.0
high_delay_high_sparsity,12,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,13,high,high,1,1,6,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.0,0.0
high_delay_high_sparsity,14,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,15,high,high,1,1,6,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.166667,1.0
high_delay_high_sparsity,16,high,high,1,1,6,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.055556,1.0
high_delay_high_sparsity,17,high,high,1,1,6,0.1,0.0,0.02,0.02,1.0,1.0,0.206349,1.0
high_delay_high_sparsity,18,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,19,high,high,1,1,6,0.1,0.0,-0.08,-0.08,1.0,1.0,0.245542,1.0
high_delay_high_sparsity,20,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.938272,1.0
high_delay_high_sparsity,21,high,high,1,1,6,0.1,0.0,-0.146667,-0.146667,1.0,1.0,0.0,0.0
high_delay_high_sparsity,22,high,high,1,1,6,0.1,0.0,-0.08,-0.08,1.0,1.0,0.0,0.0
high_delay_high_sparsity,23,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,24,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,25,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,26,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,27,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_high_sparsity,28,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.314103,1.0
high_delay_high_sparsity,29,high,high,1,1,6,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
