condition,seed,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
high,10,0.817778,-0.765667,-0.765667,0.9,0.9,0.0,0.0
high,11,0.817778,-0.085333,-0.085333,1.0,1.0,0.120262,1.0
high,12,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
high,13,0.817778,-2.0,-2.0,0.0,0.0,0.148148,1.0
high,14,0.817778,-0.254667,-0.254667,0.933333,0.933333,0.0,0.0
high,15,0.817778,-0.713667,-0.713667,0.866667,0.866667,0.0,0.0
high,16,0.817778,-0.130667,-0.130667,1.0,1.0,0.0,0.0
high,17,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
high,18,0.817778,-0.584667,-0.729667,0.9,0.9,0.006515,1.0
high,19,0.817778,-0.475,-0.475,0.966667,0.966667,0.0,0.0
high,20,0.817778,-0.477,-0.477,0.833333,0.833333,0.0,0.0
high,21,0.817778,-0.254333,-0.254333,1.0,1.0,0.0,0.0
high,22,0.817778,-0.994667,-0.994667,0.7,0.7,0.0,0.0
high,23,0.817778,-0.611333,-0.611333,0.966667,0.966667,0.0,0.0
high,24,0.817778,-0.875,-0.875,0.866667,0.866667,0.151282,1.0
high,25,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
high,26,0.817778,-0.613667,-0.613667,0.833333,0.833333,0.36285,1.0
high,27,0.817778,-1.261333,-1.261333,0.666667,0.666667,0.007463,0.75
high,28,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
high,29,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,0,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,1,0.966667,-0.505333,-0.505667,0.966667,0.933333,0.057692,0.363002
very_high,2,0.966667,-0.327333,-0.327333,1.0,1.0,0.0,0.0
very_high,3,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,4,0.966667,-0.749333,-0.874667,0.933333,0.9,0.480014,1.0
very_high,5,0.966667,-0.501667,-0.501667,1.0,1.0,0.193548,1.0
very_high,6,0.966667,-0.718333,-0.718333,0.766667,0.766667,0.0,0.0
very_high,7,0.966667,-0.855333,-0.855333,0.9,0.9,0.0,0.0
very_high,8,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,9,0.966667,-0.716667,-0.716667,0.766667,0.766667,0.28378,1.0
very_high,10,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,11,0.966667,-0.362333,-0.337667,1.0,1.0,0.019498,1.0
very_high,12,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,13,0.966667,-1.071333,-1.008333,0.766667,0.8,0.115993,0.165474
very_high,14,0.966667,-0.388667,-0.388667,0.966667,0.966667,0.0,0.0
very_high,15,0.966667,-1.105,-1.105,0.7,0.7,0.0,0.0
very_high,16,0.966667,-0.805333,-0.805333,0.7,0.7,0.0,0.0
very_high,17,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,18,0.966667,-0.963333,-0.963333,0.833333,0.833333,0.0,0.0
very_high,19,0.966667,-0.633333,-0.633333,0.833333,0.833333,0.0,0.0
very_high,20,0.966667,-0.733,-0.733,0.833333,0.833333,0.0,0.0
very_high,21,0.966667,-1.135333,-1.135333,0.633333,0.633333,0.095169,1.0
very_high,22,0.966667,-2.0,-2.0,0.0,0.0,0.733333,1.0
very_high,23,0.966667,-2.0,-2.0,0.0,0.0,0.773418,1.0
very_high,24,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,25,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,26,0.966667,-1.14,-1.14,0.733333,0.733333,0.511067,1.0
very_high,27,0.966667,-2.0,-2.0,0.0,0.0,0.027991,1.0
very_high,28,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
very_high,29,0.966667,-2.0,-2.0,0.0,0.0,0.0,0.0
