group,condition,seed,x_value,x_label,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
sparsity,sparsity_0.3,10,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.145299,1.0
sparsity,sparsity_0.3,11,0.7,reward_sparse_prob=0.3,0.7,0.053333,0.053333,1.0,1.0,0.330656,1.0
sparsity,sparsity_0.3,12,0.7,reward_sparse_prob=0.3,0.7,0.12,0.12,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,13,0.7,reward_sparse_prob=0.3,0.7,0.286667,0.286667,1.0,1.0,0.245542,1.0
sparsity,sparsity_0.3,14,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,15,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.055556,1.0
sparsity,sparsity_0.3,16,0.7,reward_sparse_prob=0.3,0.7,0.053333,0.053333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,17,0.7,reward_sparse_prob=0.3,0.7,0.22,0.22,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,18,0.7,reward_sparse_prob=0.3,0.7,0.286667,0.286667,1.0,1.0,0.342105,1.0
sparsity,sparsity_0.3,19,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.055556,1.0
sparsity,sparsity_0.3,20,0.7,reward_sparse_prob=0.3,0.7,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.3,21,0.7,reward_sparse_prob=0.3,0.7,0.12,0.12,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,22,0.7,reward_sparse_prob=0.3,0.7,0.12,0.12,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,23,0.7,reward_sparse_prob=0.3,0.7,0.053333,0.053333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,24,0.7,reward_sparse_prob=0.3,0.7,0.02,0.02,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,25,0.7,reward_sparse_prob=0.3,0.7,-0.013333,-0.013333,1.0,1.0,0.119241,1.0
sparsity,sparsity_0.3,26,0.7,reward_sparse_prob=0.3,0.7,0.186667,0.186667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,27,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,28,0.7,reward_sparse_prob=0.3,0.7,0.02,0.02,1.0,1.0,0.002849,1.0
sparsity,sparsity_0.3,29,0.7,reward_sparse_prob=0.3,0.7,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.1,0,0.9,reward_sparse_prob=0.1,0.9,-0.013333,-0.013333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,1,0.9,reward_sparse_prob=0.1,0.9,-0.046667,-0.046667,1.0,1.0,0.049708,1.0
sparsity,sparsity_0.1,2,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,3,0.9,reward_sparse_prob=0.1,0.9,-0.113333,-0.113333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,4,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.002849,1.0
sparsity,sparsity_0.1,5,0.9,reward_sparse_prob=0.1,0.9,-0.113333,-0.113333,1.0,1.0,0.055556,1.0
sparsity,sparsity_0.1,6,0.9,reward_sparse_prob=0.1,0.9,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.1,7,0.9,reward_sparse_prob=0.1,0.9,-0.113333,-0.113333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,8,0.9,reward_sparse_prob=0.1,0.9,-0.18,-0.18,1.0,1.0,0.122807,1.0
sparsity,sparsity_0.1,9,0.9,reward_sparse_prob=0.1,0.9,-0.013333,-0.013333,1.0,1.0,0.350649,1.0
sparsity,sparsity_0.1,10,0.9,reward_sparse_prob=0.1,0.9,-0.013333,-0.013333,1.0,1.0,0.074074,1.0
sparsity,sparsity_0.1,11,0.9,reward_sparse_prob=0.1,0.9,-0.146667,-0.146667,1.0,1.0,0.330656,1.0
sparsity,sparsity_0.1,12,0.9,reward_sparse_prob=0.1,0.9,-0.046667,-0.046667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,13,0.9,reward_sparse_prob=0.1,0.9,-0.046667,-0.046667,1.0,1.0,0.245542,1.0
sparsity,sparsity_0.1,14,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,15,0.9,reward_sparse_prob=0.1,0.9,-0.113333,-0.113333,1.0,1.0,0.027778,1.0
sparsity,sparsity_0.1,16,0.9,reward_sparse_prob=0.1,0.9,-0.113333,-0.113333,1.0,1.0,0.039781,1.0
sparsity,sparsity_0.1,17,0.9,reward_sparse_prob=0.1,0.9,0.02,0.02,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,18,0.9,reward_sparse_prob=0.1,0.9,-0.046667,-0.046667,1.0,1.0,0.342105,1.0
sparsity,sparsity_0.1,19,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,20,0.9,reward_sparse_prob=0.1,0.9,-0.013333,-2.0,1.0,0.0,0.055556,1.0
sparsity,sparsity_0.1,21,0.9,reward_sparse_prob=0.1,0.9,-0.146667,-0.146667,1.0,1.0,0.002849,1.0
sparsity,sparsity_0.1,22,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,23,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.156118,1.0
sparsity,sparsity_0.1,24,0.9,reward_sparse_prob=0.1,0.9,-0.08,-0.08,1.0,1.0,0.027778,1.0
sparsity,sparsity_0.1,25,0.9,reward_sparse_prob=0.1,0.9,-0.146667,-0.146667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,26,0.9,reward_sparse_prob=0.1,0.9,0.053333,0.053333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,27,0.9,reward_sparse_prob=0.1,0.9,-0.046667,-0.046667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.1,28,0.9,reward_sparse_prob=0.1,0.9,-0.113333,-0.113333,1.0,1.0,0.145299,1.0
sparsity,sparsity_0.1,29,0.9,reward_sparse_prob=0.1,0.9,-0.046667,-0.046667,1.0,1.0,0.055556,1.0
delay,delay_0,0,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.097222,1.0
delay,delay_0,1,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,2,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,3,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,4,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.002849,1.0
