condition,seed,reward,goal_rate,CDS,SPI,SPI_near,SPI_mid,SPI_far,SPI_neutral,Q_mass_near,Q_mass_mid,Q_mass_far,Q_mass_neutral
no_distractors,18,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,19,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,20,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,21,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,22,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,23,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,24,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,25,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,26,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,27,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,28,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_distractors,29,0.978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_distractors,0,0.978,1.0,0.799999,0.175,0.2,0.0,0.4,0.1,0.199994,0.199998,0.200001,0.200005
balanced_distractors,1,0.978,1.0,0.799996,0.175,0.2,0.3,0.0,0.2,0.2,0.200001,0.199999,0.199996
balanced_distractors,2,0.978,1.0,0.800001,0.25,0.4,0.1,0.2,0.3,0.200006,0.199991,0.200003,0.200002
balanced_distractors,3,0.978,1.0,0.799999,0.2,0.1,0.3,0.3,0.1,0.199999,0.199999,0.200002,0.199999
balanced_distractors,4,0.978,1.0,0.800002,0.175,0.0,0.3,0.1,0.3,0.199999,0.200003,0.199997,0.200004
balanced_distractors,5,0.978,1.0,0.799998,0.2,0.3,0.0,0.3,0.2,0.2,0.199995,0.200003,0.200001
balanced_distractors,6,0.978,1.0,0.799999,0.15,0.1,0.4,0.1,0.0,0.200002,0.200004,0.200001,0.199993
balanced_distractors,7,0.978,1.0,0.8,0.2,0.3,0.2,0.1,0.2,0.200001,0.200001,0.199995,0.200002
balanced_distractors,8,0.978,1.0,0.800001,0.225,0.0,0.3,0.1,0.5,0.199996,0.200001,0.199999,0.200006
balanced_distractors,9,0.978,1.0,0.800003,0.225,0.1,0.0,0.3,0.5,0.199999,0.199998,0.2,0.200006
balanced_distractors,10,0.978,1.0,0.799999,0.2,0.1,0.2,0.1,0.4,0.199999,0.199999,0.199999,0.200002
