condition,correlation_strength,seed,reward,goal_rate,CDS,SPI,spurious_action_rate,neutral_action_rate,causal_action_rate,Q_spurious,Q_neutral_mean,Q_causal,spurious_Q_advantage,spurious_policy_advantage
weak_spurious_correlation,0.6,24,0.978,1.0,0.747213,0.793282,0.182171,0.611111,0.206718,0.455265,0.519337,0.514144,-0.064072,-0.428941
weak_spurious_correlation,0.6,25,0.978,1.0,0.746885,0.685601,0.101717,0.583884,0.314399,0.462367,0.501299,0.501835,-0.038932,-0.482166
weak_spurious_correlation,0.6,26,0.978,1.0,0.753491,0.81625,0.3125,0.50375,0.18375,0.52492,0.47421,0.474885,0.050711,-0.19125
weak_spurious_correlation,0.6,27,0.978,1.0,0.738944,0.625823,0.200264,0.42556,0.374177,0.437622,0.484518,0.523304,-0.046897,-0.225296
weak_spurious_correlation,0.6,28,0.978,1.0,0.744859,0.808042,0.404669,0.403372,0.191958,0.528316,0.477819,0.524534,0.050497,0.001297
weak_spurious_correlation,0.6,29,0.978,1.0,0.741182,0.587302,0.100529,0.486772,0.412698,0.444669,0.508489,0.523801,-0.06382,-0.386243
medium_spurious_correlation,0.75,0,0.978,1.0,0.753589,0.810512,0.103734,0.706777,0.189488,0.490637,0.525114,0.498288,-0.034478,-0.603043
medium_spurious_correlation,0.75,1,0.978,1.0,0.728899,0.498708,0.100775,0.397933,0.501292,0.440549,0.508372,0.594128,-0.067823,-0.297158
medium_spurious_correlation,0.75,2,0.978,1.0,0.754479,0.804878,0.318428,0.48645,0.195122,0.499723,0.50716,0.482784,-0.007437,-0.168022
medium_spurious_correlation,0.75,3,0.978,1.0,0.754165,0.709549,0.116711,0.592838,0.290451,0.48307,0.503032,0.468951,-0.019962,-0.476127
medium_spurious_correlation,0.75,4,0.978,1.0,0.752075,0.791614,0.298602,0.493011,0.208386,0.525513,0.493069,0.49107,0.032444,-0.194409
medium_spurious_correlation,0.75,5,0.978,1.0,0.750545,0.783854,0.088542,0.695312,0.216146,0.438923,0.522948,0.493142,-0.084026,-0.606771
medium_spurious_correlation,0.75,6,0.978,1.0,0.744799,0.677507,0.089431,0.588076,0.322493,0.468652,0.527269,0.540298,-0.058617,-0.498645
medium_spurious_correlation,0.75,7,0.978,1.0,0.74013,0.602394,0.107713,0.494681,0.397606,0.43452,0.482954,0.514117,-0.048434,-0.386968
medium_spurious_correlation,0.75,8,0.978,1.0,0.759286,0.887139,0.204724,0.682415,0.112861,0.4817,0.534139,0.469387,-0.052438,-0.47769
medium_spurious_correlation,0.75,9,0.978,1.0,0.751262,0.803822,0.103185,0.700637,0.196178,0.465943,0.530752,0.501264,-0.064809,-0.597452
medium_spurious_correlation,0.75,10,0.978,1.0,0.746459,0.682796,0.198925,0.483871,0.317204,0.483914,0.495177,0.50595,-0.011263,-0.284946
medium_spurious_correlation,0.75,11,0.978,1.0,0.757973,0.700922,0.104084,0.596838,0.299078,0.477794,0.51193,0.455503,-0.034136,-0.492754
medium_spurious_correlation,0.75,12,0.978,1.0,0.748772,0.775253,0.194444,0.580808,0.224747,0.471957,0.515282,0.509736,-0.043325,-0.386364
medium_spurious_correlation,0.75,13,0.978,1.0,0.737064,0.586428,0.0,0.586428,0.413572,0.396509,0.513838,0.543503,-0.117329,-0.586428
medium_spurious_correlation,0.75,14,0.978,1.0,0.748768,0.79668,0.100968,0.695712,0.20332,0.439769,0.501454,0.495312,-0.061685,-0.594744
medium_spurious_correlation,0.75,15,0.978,1.0,0.764427,0.892617,0.300671,0.591946,0.107383,0.53186,0.520584,0.457298,0.011276,-0.291275
medium_spurious_correlation,0.75,16,0.978,1.0,0.761573,0.901526,0.320388,0.581137,0.098474,0.542602,0.500127,0.460353,0.042475,-0.260749
medium_spurious_correlation,0.75,17,0.978,1.0,0.758519,0.801712,0.400856,0.400856,0.198288,0.548058,0.499352,0.47492,0.048706,0.0
medium_spurious_correlation,0.75,18,0.978,1.0,0.764382,0.894952,0.503411,0.391542,0.105048,0.582318,0.503016,0.452439,0.079302,0.111869
medium_spurious_correlation,0.75,19,0.978,1.0,0.746732,0.699867,0.22842,0.471448,0.300133,0.491468,0.480818,0.50242,0.01065,-0.243028
medium_spurious_correlation,0.75,20,0.978,1.0,0.754013,0.695073,0.310253,0.38482,0.304927,0.529417,0.515222,0.498461,0.014196,-0.074567
medium_spurious_correlation,0.75,21,0.978,1.0,0.745877,0.778094,0.291607,0.486486,0.221906,0.50569,0.507036,0.531682,-0.001346,-0.194879
medium_spurious_correlation,0.75,22,0.978,1.0,0.753673,0.815006,0.213454,0.601552,0.184994,0.500277,0.513742,0.493466,-0.013465,-0.388098
medium_spurious_correlation,0.75,23,0.978,1.0,0.756653,0.809079,0.304406,0.504673,0.190921,0.510432,0.507963,0.475605,0.002469,-0.200267
medium_spurious_correlation,0.75,24,0.978,1.0,0.772614,1.0,0.416021,0.583979,0.0,0.56217,0.516349,0.417187,0.045821,-0.167959
medium_spurious_correlation,0.75,25,0.978,1.0,0.770711,1.0,0.384412,0.615588,0.0,0.510108,0.515969,0.410938,-0.005861,-0.231176
medium_spurious_correlation,0.75,26,0.978,1.0,0.735741,0.615,0.3125,0.3025,0.385,0.519628,0.456292,0.551987,0.063336,0.01
medium_spurious_correlation,0.75,27,0.978,1.0,0.758586,0.799736,0.29249,0.507246,0.200264,0.507157,0.495543,0.459379,0.011614,-0.214756
medium_spurious_correlation,0.75,28,0.978,1.0,0.754084,0.801556,0.312581,0.488975,0.198444,0.52466,0.503918,0.482537,0.020742,-0.176394
medium_spurious_correlation,0.75,29,0.978,1.0,0.739817,0.60582,0.189153,0.416667,0.39418,0.490598,0.497086,0.548676,-0.006488,-0.227513
strong_spurious_correlation,0.9,0,0.978,1.0,0.720093,0.28769,0.091286,0.196404,0.71231,0.465543,0.464965,0.613572,0.000578,-0.105118
strong_spurious_correlation,0.9,1,0.978,1.0,0.763773,0.801034,0.094315,0.706718,0.198966,0.455053,0.564337,0.455835,-0.109284,-0.612403
strong_spurious_correlation,0.9,2,0.978,1.0,0.763233,0.899729,0.304878,0.594851,0.100271,0.47347,0.526292,0.440506,-0.052823,-0.289973
strong_spurious_correlation,0.9,3,0.978,1.0,0.756112,0.724138,0.206897,0.517241,0.275862,0.505528,0.504047,0.466726,0.001481,-0.310345
strong_spurious_correlation,0.9,4,0.978,1.0,0.770199,0.92249,0.297332,0.625159,0.07751,0.529265,0.544424,0.433643,-0.015159,-0.327827
strong_spurious_correlation,0.9,5,0.978,1.0,0.776075,1.0,0.09375,0.90625,0.0,0.512069,0.571826,0.414764,-0.059757,-0.8125
strong_spurious_correlation,0.9,6,0.978,1.0,0.761907,0.910569,0.411924,0.498645,0.089431,0.567979,0.513519,0.471813,0.05446,-0.086721
strong_spurious_correlation,0.9,7,0.978,1.0,0.743867,0.722074,0.094415,0.62766,0.277926,0.401297,0.503386,0.500065,-0.102089,-0.533245
strong_spurious_correlation,0.9,8,0.978,1.0,0.739107,0.573491,0.188976,0.384514,0.426509,0.489293,0.507355,0.555546,-0.018063,-0.195538
strong_spurious_correlation,0.9,9,0.978,1.0,0.761985,0.903185,0.392357,0.510828,0.096815,0.547921,0.498029,0.454918,0.049892,-0.118471
strong_spurious_correlation,0.9,10,0.978,1.0,0.760347,0.895161,0.096774,0.798387,0.104839,0.485814,0.536653,0.465095,-0.050839,-0.701613
strong_spurious_correlation,0.9,11,0.978,1.0,0.755086,0.799736,0.184453,0.615283,0.200264,0.480364,0.503773,0.472952,-0.023408,-0.43083
strong_spurious_correlation,0.9,12,0.978,1.0,0.750415,0.806818,0.209596,0.597222,0.193182,0.456743,0.506649,0.487501,-0.049906,-0.387626
strong_spurious_correlation,0.9,13,0.978,1.0,0.751192,0.596671,0.295775,0.300896,0.403329,0.515371,0.496763,0.488122,0.018607,-0.005122
strong_spurious_correlation,0.9,14,0.978,1.0,0.744855,0.780083,0.385892,0.394191,0.219917,0.528028,0.440514,0.499505,0.087514,-0.008299
strong_spurious_correlation,0.9,15,0.978,1.0,0.7458,0.691275,0.495302,0.195973,0.308725,0.570875,0.480867,0.530707,0.090007,0.299329
strong_spurious_correlation,0.9,16,0.978,1.0,0.755059,0.911234,0.221914,0.68932,0.088766,0.497679,0.500998,0.479124,-0.003319,-0.467406
strong_spurious_correlation,0.9,17,0.978,1.0,0.766359,1.0,0.231098,0.768902,0.0,0.489093,0.514681,0.429844,-0.025588,-0.537803
strong_spurious_correlation,0.9,18,0.978,1.0,0.744878,0.793997,0.20191,0.592087,0.206003,0.439316,0.52028,0.518704,-0.080964,-0.390177
strong_spurious_correlation,0.9,19,0.978,1.0,0.766117,0.904382,0.115538,0.788845,0.095618,0.473106,0.561133,0.446886,-0.088026,-0.673307
strong_spurious_correlation,0.9,20,0.978,1.0,0.729225,0.592543,0.288948,0.303595,0.407457,0.51795,0.449567,0.574643,0.068382,-0.014647
strong_spurious_correlation,0.9,21,0.978,1.0,0.773233,1.0,0.290185,0.709815,0.0,0.512015,0.524857,0.401988,-0.012842,-0.41963
strong_spurious_correlation,0.9,22,0.978,1.0,0.762202,0.89392,0.214748,0.679172,0.10608,0.47654,0.536501,0.452823,-0.059961,-0.464424
strong_spurious_correlation,0.9,23,0.978,1.0,0.763541,1.0,0.213618,0.786382,0.0,0.504213,0.535227,0.462419,-0.031015,-0.572764
strong_spurious_correlation,0.9,24,0.978,1.0,0.748428,0.775194,0.294574,0.48062,0.224806,0.4892,0.521526,0.518044,-0.032325,-0.186047
strong_spurious_correlation,0.9,25,0.978,1.0,0.741162,0.696169,0.202114,0.494055,0.303831,0.44757,0.475281,0.511004,-0.027712,-0.291942
strong_spurious_correlation,0.9,26,0.978,1.0,0.75533,0.8175,0.205,0.6125,0.1825,0.463106,0.505844,0.469907,-0.042739,-0.4075
strong_spurious_correlation,0.9,27,0.978,1.0,0.730669,0.509881,0.108037,0.401845,0.490119,0.448187,0.479087,0.566364,-0.0309,-0.293808
strong_spurious_correlation,0.9,28,0.978,1.0,0.756246,0.701686,0.198444,0.503243,0.298314,0.527321,0.520258,0.489538,0.007063,-0.304799
strong_spurious_correlation,0.9,29,0.978,1.0,0.766068,0.904762,0.525132,0.37963,0.095238,0.569418,0.502796,0.442531,0.066622,0.145503
