condition,ambiguity_level,reward_prob,cue_given_reward,eval_mode,seed,reward,goal_rate,causal_target_rate,SPI,CDS,causal_action_rate,spurious_action_rate,neutral_action_rate,Q_causal,Q_spurious,Q_neutral_mean,spurious_Q_advantage,causal_Q_advantage,spurious_vs_causal_Q
moderate_ambiguity,1.0,0.7,0.75,decorrelated,24,0.678,0.7,1.0,1.0,0.757187,0.0,0.0,1.0,0.66957,0.688178,0.71802,-0.029842,-0.04845,0.018608
moderate_ambiguity,1.0,0.7,0.75,training_distribution,25,0.652,0.674,1.0,1.0,0.748824,0.0,1.0,0.0,0.71033,0.795954,0.651763,0.144191,0.058567,0.085624
moderate_ambiguity,1.0,0.7,0.75,decorrelated,25,0.652,0.674,1.0,1.0,0.748824,0.0,1.0,0.0,0.71033,0.795954,0.651763,0.144191,0.058567,0.085624
moderate_ambiguity,1.0,0.7,0.75,training_distribution,26,0.654,0.676,1.0,1.0,0.742473,0.0,0.0,1.0,0.745407,0.687883,0.709907,-0.022024,0.0355,-0.057524
moderate_ambiguity,1.0,0.7,0.75,decorrelated,26,0.654,0.676,1.0,1.0,0.742473,0.0,0.0,1.0,0.745407,0.687883,0.709907,-0.022024,0.0355,-0.057524
moderate_ambiguity,1.0,0.7,0.75,training_distribution,27,0.712,0.734,1.0,1.0,0.755376,0.0,0.0,1.0,0.706106,0.68369,0.758809,-0.07512,-0.052704,-0.022416
moderate_ambiguity,1.0,0.7,0.75,decorrelated,27,0.712,0.734,1.0,1.0,0.755376,0.0,0.0,1.0,0.706106,0.68369,0.758809,-0.07512,-0.052704,-0.022416
moderate_ambiguity,1.0,0.7,0.75,training_distribution,28,0.676,0.698,1.0,1.0,0.751477,0.0,0.0,1.0,0.738566,0.703635,0.75782,-0.054185,-0.019254,-0.03493
moderate_ambiguity,1.0,0.7,0.75,decorrelated,28,0.676,0.698,1.0,1.0,0.751477,0.0,0.0,1.0,0.738566,0.703635,0.75782,-0.054185,-0.019254,-0.03493
moderate_ambiguity,1.0,0.7,0.75,training_distribution,29,0.692,0.714,1.0,0.0,0.735538,1.0,0.0,0.0,0.745329,0.681064,0.663669,0.017396,0.08166,-0.064265
moderate_ambiguity,1.0,0.7,0.75,decorrelated,29,0.692,0.714,1.0,0.0,0.735538,1.0,0.0,0.0,0.745329,0.681064,0.663669,0.017396,0.08166,-0.064265
high_ambiguity,2.0,0.55,0.9,training_distribution,0,0.502,0.524,1.0,1.0,0.766169,0.0,0.0,1.0,0.657063,0.702688,0.760432,-0.057745,-0.10337,0.045625
high_ambiguity,2.0,0.55,0.9,decorrelated,0,0.502,0.524,1.0,1.0,0.766169,0.0,0.0,1.0,0.657063,0.702688,0.760432,-0.057745,-0.10337,0.045625
high_ambiguity,2.0,0.55,0.9,training_distribution,1,0.54,0.562,1.0,1.0,0.755696,0.0,0.0,1.0,0.613697,0.559227,0.674551,-0.115323,-0.060854,-0.054469
high_ambiguity,2.0,0.55,0.9,decorrelated,1,0.54,0.562,1.0,1.0,0.755696,0.0,0.0,1.0,0.613697,0.559227,0.674551,-0.115323,-0.060854,-0.054469
high_ambiguity,2.0,0.55,0.9,training_distribution,2,0.534,0.556,1.0,1.0,0.765622,0.0,0.0,1.0,0.594408,0.634956,0.694607,-0.05965,-0.100198,0.040548
high_ambiguity,2.0,0.55,0.9,decorrelated,2,0.534,0.556,1.0,1.0,0.765622,0.0,0.0,1.0,0.594408,0.634956,0.694607,-0.05965,-0.100198,0.040548
high_ambiguity,2.0,0.55,0.9,training_distribution,3,0.552,0.574,1.0,0.0,0.735359,1.0,0.0,0.0,0.759895,0.669088,0.690043,-0.020954,0.069853,-0.090807
high_ambiguity,2.0,0.55,0.9,decorrelated,3,0.552,0.574,1.0,0.0,0.735359,1.0,0.0,0.0,0.759895,0.669088,0.690043,-0.020954,0.069853,-0.090807
high_ambiguity,2.0,0.55,0.9,training_distribution,4,0.512,0.534,1.0,1.0,0.763213,0.0,0.0,1.0,0.632507,0.621878,0.737452,-0.115574,-0.104945,-0.010629
