agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
tabular_sarsa,1,acquisition,1600,1600,0.95,0.05,0.514667,0.536667,0.858333,0.75349,0.141667,0.265667,0.592667,0.215789,0.233584,0.234938,-0.001354,0.017795,-0.301205,0.301205,0.501573
tabular_sarsa,1,acquisition,1700,1700,0.95,0.05,0.494667,0.516667,0.850333,0.752578,0.149667,0.302,0.548333,0.22289,0.237031,0.235865,0.001166,0.014142,-0.107689,0.107689,0.003342
tabular_sarsa,1,acquisition,1800,1800,0.95,0.05,0.464667,0.486667,0.798667,0.750165,0.201333,0.249333,0.549333,0.230089,0.228596,0.231884,-0.003289,-0.001493,-0.206152,0.206152,0.103676
tabular_sarsa,1,acquisition,1900,1900,0.95,0.05,0.484667,0.506667,0.598333,0.747827,0.401667,0.198667,0.399667,0.240796,0.234712,0.227072,0.00764,-0.006083,0.200405,0.200405,0.00453
tabular_sarsa,1,acquisition,2000,2000,0.95,0.05,0.514667,0.536667,0.652,0.749909,0.348,0.245667,0.406333,0.244316,0.239965,0.245549,-0.005584,-0.004352,-0.09867,0.09867,-0.102526
tabular_sarsa,1,acquisition,2100,2100,0.95,0.05,0.444667,0.466667,0.755333,0.750746,0.244667,0.209333,0.546,0.21847,0.222001,0.222969,-0.000968,0.003531,0.098409,0.098409,-0.198887
tabular_sarsa,1,acquisition,2200,2200,0.95,0.05,0.424667,0.446667,0.663,0.750373,0.337,0.256333,0.406667,0.209294,0.211379,0.211341,3.8e-05,0.002085,0.302809,0.302809,-0.099996
tabular_sarsa,1,acquisition,2300,2300,0.95,0.05,0.464667,0.486667,0.754333,0.749842,0.245667,0.202,0.552333,0.243258,0.238905,0.244064,-0.005159,-0.004352,0.102182,0.102182,-0.008707
tabular_sarsa,1,acquisition,2400,2400,0.95,0.05,0.498,0.52,0.704,0.751704,0.296,0.352667,0.351333,0.24441,0.263056,0.24858,0.014476,0.018646,-0.00517,0.00517,0.098673
tabular_sarsa,1,acquisition,2500,2500,0.95,0.05,0.454667,0.476667,0.649333,0.747785,0.350667,0.148333,0.501,0.249041,0.236191,0.23778,-0.001589,-0.01285,-0.09749,0.09749,0.098749
tabular_sarsa,1,acquisition,2600,2600,0.95,0.05,0.521333,0.543333,0.606,0.750013,0.394,0.261333,0.344667,0.246248,0.246311,0.24629,2.1e-05,6.2e-05,-0.191907,0.191907,0.302662
tabular_sarsa,1,acquisition,2700,2700,0.95,0.05,0.481333,0.503333,0.698,0.75155,0.302,0.199667,0.498333,0.246784,0.253793,0.255756,-0.001963,0.00701,-0.203472,0.203472,0.196135
tabular_sarsa,1,acquisition,2800,2800,0.95,0.05,0.478,0.5,0.703,0.750176,0.297,0.203,0.5,0.248954,0.240601,0.254932,-0.014331,-0.008354,0.011188,0.011188,-0.006521
tabular_sarsa,1,acquisition,2900,2900,0.95,0.05,0.538,0.56,0.750667,0.7499,0.249333,0.199667,0.551,0.28637,0.281852,0.288357,-0.006506,-0.004518,-0.104,0.104,-0.007883
tabular_sarsa,1,acquisition,3000,3000,0.95,0.05,0.478,0.5,0.756,0.751152,0.244,0.147,0.609,0.267129,0.267306,0.276335,-0.00903,0.000177,-0.103531,0.103531,-0.09774
tabular_sarsa,1,reversal,1,3001,0.05,0.95,0.458,0.48,0.705667,0.750505,0.294333,0.146667,0.559,0.279008,0.27546,0.284985,-0.009525,-0.003548,-0.200938,0.200938,-0.100094
tabular_sarsa,1,reversal,100,3100,0.05,0.95,0.491333,0.513333,0.596,0.744539,0.404,0.151,0.445,0.267516,0.23914,0.240144,-0.001004,-0.028375,-0.002278,0.002278,-0.106728
