agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
tabular_sarsa,1,acquisition,1300,1300,0.95,0.05,0.444667,0.466667,0.645833,0.748493,0.354167,0.306667,0.339167,0.215587,0.207664,0.207314,0.00035,-0.007923,-0.295778,-0.002186
tabular_sarsa,1,acquisition,1400,1400,0.95,0.05,0.428,0.45,0.639167,0.747617,0.360833,0.149167,0.49,0.211013,0.19909,0.197798,0.001292,-0.011924,-0.30026,0.103748
tabular_sarsa,1,acquisition,1500,1500,0.95,0.05,0.536333,0.558333,0.755833,0.748685,0.244167,0.201667,0.554167,0.237045,0.237032,0.227046,0.009986,-1.3e-05,-0.10495,0.000315
tabular_sarsa,1,acquisition,1600,1600,0.95,0.05,0.536333,0.558333,0.738333,0.750487,0.261667,0.23,0.508333,0.234338,0.233396,0.238841,-0.005446,-0.000943,0.28521,-0.29378
tabular_sarsa,1,acquisition,1700,1700,0.95,0.05,0.486333,0.508333,0.746667,0.749751,0.253333,0.29,0.456667,0.217899,0.218151,0.216757,0.001394,0.000252,0.108237,-0.186968
tabular_sarsa,1,acquisition,1800,1800,0.95,0.05,0.419667,0.441667,0.6225,0.749955,0.3775,0.195833,0.426667,0.19652,0.196763,0.196329,0.000434,0.000243,-0.529209,0.22233
tabular_sarsa,1,acquisition,1900,1900,0.95,0.05,0.486333,0.508333,0.85,0.751038,0.15,0.248333,0.601667,0.200987,0.199991,0.209135,-0.009144,-0.000996,-0.104018,0.096728
tabular_sarsa,1,acquisition,2000,2000,0.95,0.05,0.536333,0.558333,0.835833,0.750675,0.164167,0.189167,0.646667,0.2444,0.233914,0.253399,-0.019485,-0.010486,0.301685,-0.19998
tabular_sarsa,1,acquisition,2100,2100,0.95,0.05,0.436333,0.458333,0.699167,0.749112,0.300833,0.2425,0.456667,0.225824,0.213873,0.224549,-0.010676,-0.011952,0.19723,0.092755
tabular_sarsa,1,acquisition,2200,2200,0.95,0.05,0.369667,0.391667,0.699167,0.750703,0.300833,0.140833,0.558333,0.21005,0.203404,0.218482,-0.015078,-0.006646,0.000332,0.102761
tabular_sarsa,1,acquisition,2300,2300,0.95,0.05,0.453,0.475,0.6475,0.750013,0.3525,0.145833,0.501667,0.25996,0.253143,0.264039,-0.010896,-0.006817,0.093867,0.102851
tabular_sarsa,1,acquisition,2400,2400,0.95,0.05,0.511333,0.533333,0.6975,0.750497,0.3025,0.199167,0.498333,0.276003,0.272117,0.281958,-0.009841,-0.003886,0.188156,-0.199997
tabular_sarsa,1,acquisition,2500,2500,0.95,0.05,0.411333,0.433333,0.763333,0.751163,0.236667,0.218333,0.545,0.250375,0.250861,0.259389,-0.008528,0.000486,0.094028,-0.392804
tabular_sarsa,1,acquisition,2600,2600,0.95,0.05,0.544667,0.566667,0.9425,0.753129,0.0575,0.2875,0.655,0.289241,0.304059,0.306582,-0.002523,0.014818,0.102526,-0.197888
tabular_sarsa,1,acquisition,2700,2700,0.95,0.05,0.469667,0.491667,0.796667,0.751028,0.203333,0.346667,0.45,0.256594,0.261728,0.262206,-0.000478,0.005134,-0.185954,-0.11159
tabular_sarsa,1,acquisition,2800,2800,0.95,0.05,0.478,0.5,0.745,0.752198,0.255,0.2925,0.4525,0.266762,0.287667,0.273264,0.014403,0.020904,-0.505785,0.193222
tabular_sarsa,1,acquisition,2900,2900,0.95,0.05,0.536333,0.558333,0.864167,0.754119,0.135833,0.27,0.594167,0.295591,0.323467,0.313772,0.009695,0.027877,-0.305816,0.300109
tabular_sarsa,1,acquisition,3000,3000,0.95,0.05,0.494667,0.516667,0.900833,0.752306,0.099167,0.246667,0.654167,0.268862,0.280111,0.28151,-0.001399,0.011249,-0.204117,-0.087381
tabular_sarsa,1,reversal,1,3001,0.05,0.95,0.444667,0.466667,0.906667,0.752524,0.093333,0.255,0.651667,0.28019,0.292128,0.294196,-0.002068,0.011939,-0.200717,-0.096171
tabular_sarsa,1,reversal,100,3100,0.05,0.95,0.494667,0.516667,0.698333,0.746212,0.301667,0.298333,0.4,0.265279,0.263864,0.239382,0.024482,-0.001414,-0.0099,0.0099
tabular_sarsa,1,reversal,200,3200,0.05,0.95,0.478,0.5,0.655,0.745801,0.345,0.255,0.4,0.248691,0.251679,0.215222,0.036457,0.002988,0.110119,-0.094119
tabular_sarsa,1,reversal,300,3300,0.05,0.95,0.503,0.525,0.750833,0.746462,0.249167,0.301667,0.449167,0.234612,0.233024,0.207865,0.02516,-0.001587,-0.104215,-0.00095
tabular_sarsa,1,reversal,400,3400,0.05,0.95,0.486333,0.508333,0.6975,0.747328,0.3025,0.198333,0.499167,0.23256,0.230426,0.212513,0.017914,-0.002133,-0.002592,-0.200762
tabular_sarsa,1,reversal,500,3500,0.05,0.95,0.519667,0.541667,0.788333,0.748975,0.211667,0.301667,0.486667,0.232768,0.232677,0.224279,0.008399,-9.1e-05,-0.214925,0.002306
tabular_sarsa,1,reversal,600,3600,0.05,0.95,0.544667,0.566667,0.711667,0.751121,0.288333,0.209167,0.5025,0.249344,0.262261,0.250375,0.011886,0.012916,0.201743,-0.197211
tabular_sarsa,1,reversal,700,3700,0.05,0.95,0.503,0.525,0.705833,0.753604,0.294167,0.254167,0.451667,0.244475,0.271564,0.257457,0.014107,0.02709,0.206169,-0.09984
tabular_sarsa,1,reversal,800,3800,0.05,0.95,0.469667,0.491667,0.800833,0.751479,0.199167,0.2475,0.553333,0.242162,0.258683,0.244524,0.014159,0.016521,-0.008972,-0.084103
tabular_sarsa,1,reversal,900,3900,0.05,0.95,0.511333,0.533333,0.905,0.754561,0.095,0.356667,0.548333,0.249389,0.275533,0.271398,0.004135,0.026144,0.005227,0.102307
