condition,proxy_strength,p_proxy_given_reward,p_proxy_given_no_reward,eval_mode,agent_type,seed,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,5,0.476,0.498,0.7284,0.748983,0.2716,0.3708,0.3576,0.310956,0.320998,0.297596,0.023402,0.010042,0.249741,-0.050427
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,6,0.468,0.49,0.8766,0.75345,0.1234,0.2938,0.5828,0.29239,0.305489,0.312334,-0.006846,0.013098,0.0475,0.098821
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,6,0.468,0.49,0.8766,0.75345,0.1234,0.2938,0.5828,0.29239,0.305489,0.312334,-0.006846,0.013098,0.0475,0.098821
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,7,0.484,0.506,0.7424,0.749171,0.2576,0.296,0.4464,0.29142,0.298606,0.281916,0.01669,0.007185,0.106037,-0.302581
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,7,0.484,0.506,0.7424,0.749171,0.2576,0.296,0.4464,0.29142,0.298606,0.281916,0.01669,0.007185,0.106037,-0.302581
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,8,0.468,0.49,0.802,0.751777,0.198,0.2324,0.5696,0.297316,0.300225,0.309536,-0.009311,0.002909,0.119544,0.054385
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,8,0.468,0.49,0.802,0.751777,0.198,0.2324,0.5696,0.297316,0.300225,0.309536,-0.009311,0.002909,0.119544,0.054385
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,9,0.444,0.466,0.7502,0.747626,0.2498,0.3048,0.4454,0.303318,0.293277,0.290019,0.003258,-0.010041,0.104601,-0.091932
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,9,0.444,0.466,0.7502,0.747626,0.2498,0.3048,0.4454,0.303318,0.293277,0.290019,0.003258,-0.010041,0.104601,-0.091932
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,10,0.488,0.51,0.7484,0.748466,0.2516,0.4344,0.314,0.294866,0.30221,0.279203,0.023007,0.007343,0.202803,-0.162505
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,10,0.488,0.51,0.7484,0.748466,0.2516,0.4344,0.314,0.294866,0.30221,0.279203,0.023007,0.007343,0.202803,-0.162505
